EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
4700	-17293.15	-8861	0.1
4800	-18085.65	-8861	0.1
4900	-19909.55	-8861	0.1
Total Time: 40.441168785095215
Best Route: 1 22 32 49 35 36 34 39 40 38 37 24 48 15 5 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 21 17 42 7 2 
Fitness=-8861

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29112.75	-8980	0.1
100	-21484.05	-8980	0.1
200	-21226.7	-8980	0.1
300	-19623.05	-8980	0.1
400	-17408.15	-8980	0.1
500	-20730.6	-8980	0.1
600	-15062.15	-8980	0.1
700	-19964.3	-8901	0.1
800	-19707.35	-8901	0.1
900	-17758.9	-8901	0.1
1000	-16373.1	-8901	0.1
1100	-20054.95	-8901	0.1
1200	-15262.65	-8901	0.1
1300	-20107.65	-8901	0.1
1400	-18991.95	-8901	0.1
1500	-17122.75	-8901	0.1
1600	-20844.4	-8901	0.1
1700	-18726.35	-8901	0.1
1800	-16604.8	-8901	0.1
1900	-17125.05	-8901	0.1
2000	-19516.95	-8901	0.1
2100	-18819.4	-8901	0.1
2200	-18057.9	-8901	0.1
2300	-21699.15	-8901	0.1
2400	-16670.3	-8901	0.1
2500	-18304.85	-8901	0.1
2600	-23543.7	-8901	0.1
2700	-18944.0	-8901	0.1
2800	-19890.9	-8901	0.1
2900	-21400.55	-8901	0.1
3000	-18888.9	-8901	0.1
3100	-20105.95	-8901	0.1
3200	-17519.25	-8901	0.1
3300	-16100.6	-8901	0.1
3400	-21714.65	-8840	0.1
3500	-16993.25	-8840	0.1
3600	-21147.55	-8840	0.1
3700	-19081.15	-8840	0.1
3800	-16957.95	-8840	0.1
3900	-18611.55	-8840	0.1
4000	-23091.65	-8840	0.1
4100	-17218.85	-8780	0.1
4200	-15472.55	-8780	0.1
4300	-20116.05	-8780	0.1
4400	-18443.65	-8780	0.1
4500	-16132.95	-8780	0.1
4600	-20618.4	-8738	0.1
4700	-17124.85	-8738	0.1
4800	-15811.5	-8738	0.1
4900	-21440.0	-8738	0.1
Total Time: 40.30805516242981
Best Route: 22 1 49 32 36 35 34 39 40 38 37 48 24 15 5 4 6 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 21 42 2 7 17 
Fitness=-8738

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
